nom,sexe,nee,og_av,og_ar,od_av,od_ar,c_g,c_g2,c_c1,c_c2,c_d,c_d2
ABRICOTE,F,2005,,,vert,vert,bleu,,bleu,,bleu,
ACDC,M,2005,violet,violet,violet,violet,bleu,,,,bleu,
AIRBAG,M,2005,rouge,rouge,rouge,rouge,,,,,,
ALEXANDRIE,F,2005,rouge,rouge,jaune,jaune,,,,,,
ALTITUDE,F,2006,bleu,bleu,bleu,bleu,,,,,,
ALU,M,2005,rouge,rouge,bleu,bleu,,,,,,
ANCOLIE,F,2006,jaune,vert,,,,,,,,
ASSOUPIE,F,2005,blanc,blanc,bleu,bleu,,,,,,
BACHIBOUZOUK,M,2006,vert,vert,jaune,jaune,,,,,,
BARROUNETTE,F,2006,,,noir,bleu,,,,,,
BASTILLE,F,2006,vert,vert,violet,violet,vert,,vert,,vert,
BENOÎTE,F,2006,vert,vert,blanc,blanc,,,,,,
BÊTISE,F,2006,violet,violet,violet,violet,,,,,,
BIBICHE,F,2006,vert,vert,jaune,jaune,,,,,,
BIBICHETTE,F,2008,orange,orange,vert,vert,,,,,,
BONNARD,M,2005,blanc,blanc,noir,bleu,,,,,,
BRICOLE,F,2006,blanc,blanc,blanc,blanc,,,,,,
BROUTEUSE,F,2006,blanc,blanc,jaune,jaune,,,,,,
CACTUS,M,2007,vert,vert,vert,vert,,,,,,
CANAILLE,F,2007,noir,noir,rouge,rouge,,,,,,
CHARLIE,M,2016,blanc,blanc,blanc,blanc,blanc,,blanc,,blanc,
COCO,M,2007,bleu,bleu,rouge,rouge,,,,,,
COQUELICOT,M,2007,jaune,rouge,,,jaune,,jaune,rouge,rouge,
COQUETTE,F,2007,blanc,bleu,blanc,bleu,,,,,,
DALIDA,F,2008,rouge,,blanc,,,,,,,
DARWIN,M,2008,violet,violet,rouge,rouge,,,,,,
DÉDÉ,M,2008,jaune,jaune,violet,violet,,,,,,
DENISE,F,2008,violet,violet,jaune,jaune,bleu,,bleu,,bleu,
DIONYSOS,M,2008,jaune,rouge,jaune,rouge,,,,,,
DODUE,F,2008,jaune,jaune,jaune,jaune,1,,1,,1,
DROOPY,M,2008,blanc,blanc,blanc,blanc,,,,,,
DURDUR,M,2008,violet,violet,blanc,blanc,,,,,,
ECTOPLASME,M,2009,jaune,jaune,bleu,bleu,,,,,,
EDDY,M,2009,vert,vert,blanc,blanc,,,,,,
ELECTRIC,M,2009,rouge,rouge,jaune,jaune,,,,,,
ÉLYSÉE,F,2009,jaune,jaune,blanc,blanc,,,,,,
EPILOBE,F,2009,noir,noir,vert,vert,vert,,B,,vert,
ERBA,M,2009,noir,noir,bleu,bleu,,,,,,
EULALIE,F,2009,bleu,bleu,violet,violet,rouge,,rouge,,rouge,
EUZEBIO,M,2009,vert,vert,rouge,rouge,,,,,,
EVASION,F,2009,vert,vert,vert,vert,marron,,marron,,marron,
FAKIR,M,2010,bleu,bleu,vert,vert,,,,,,
FALAISE,F,2010,rouge,rouge,jaune,jaune,rouge,,rouge,jaune,jaune,
FANFARON,M,2010,violet,violet,violet,violet,,,,,,
FANFOUÉ,M,2010,vert,vert,violet,violet,,,,,,
FERNAND,M,2010,jaune,jaune,blanc,blanc,,,,,,
FLAMBY,M,2010,vert,vert,bleu,bleu,,,,,,
FLAP,M,2010,bleu,bleu,blanc,blanc,,,,,,
FLIBUSTIER,M,2010,violet,violet,bleu,bleu,,,,,,
FLORIA,F,2010,noir,noir,noir,noir,noir,,noir,,noir,
FLOTTE,M,2010,jaune,jaune,vert,vert,marron,,marron,,marron,
FOREST,M,2010,,,,,H,,H,,H,
FORMIDABLE,M,2010,rouge,rouge,blanc,blanc,,,,,,
FRANCKY,M,2010,jaune,jaune,jaune,jaune,,,,,,
FRAPADINGUE,M,2010,vert,vert,rouge,rouge,,,,,,
FRIPOUILLE,F,2010,blanc,blanc,bleu,bleu,blanc,,blanc,,blanc,
FUNAMBULE,M,2010,blanc,blanc,violet,violet,,,,,,
FURIEUSE,F,2010,violet,violet,violet,violet,,,,,,
GALINETTE,F,2011,vert,rouge,,,rouge,,rouge,vert,vert,
GAP LARDIER,M,2011,noir,noir,noir,noir,,,,,,
GARFIELD,M,2011,noir,,rouge,,,,,,,
GARNEMENT,M,2011,violet,,jaune,,,,,,,
GAVROCHE,M,2011,vert,noir,vert,noir,V,,V,,V,
GERARD,M,2011,rouge,jaune,jaune,rouge,rouge,,rouge,,rouge,
GERMAINE,F,2011,bleu,bleu,vert,vert,orange,,orange,,orange,
GIALLO,M,2011,rouge,bleu,,,,,,,,
GIANT,M,2011,noir,,vert,,,,,,,
GOELAND,M,2011,noir,noir,blanc,blanc,4,,4,,4,
GORDZERÉ,M,2011,noir,noir,blanc,blanc,D,,orange,,D,
GOTTI,M,2011,,,jaune,noir,,,,,,
GRANDUC,M,2011,vert,,violet,,,,,,,
GRENOUILLE,F,2011,vert,noir,,,,,,,,
GRINGALET,M,2011,blanc,,vert,,,,,,,
GUGUS,M,2011,,,,,,,,,,
GUIGNOL,M,2011,jaune,jaune,noir,noir,,,,,,
HADDOCK,M,2012,rouge,rouge,noir,noir,,,,,,
HADÈS,M,2013,noir,,bleu,,,,,,,
HALBERT,M,2012,noir,noir,noir,noir,14,,1,,14,
HANNIBAL,M,2012,bleu,,violet,,,,,,,
HAPOGÉE,F,2012,jaune,jaune,rouge,rouge,,,,,,
HAPPACHE,M,2012,jaune,jaune,rouge,rouge,,,,,,
HARIBO,M,2012,jaune,,noir,,,,,,,
HARICOT,M,2012,rouge,violet,,,,,,,,
HARRY,M,2011,bleu,bleu,bleu,bleu,16,,1,,16,
HEDY,F,2012,rouge,rouge,rouge,rouge,G,,rouge,,G,
HÉLIANTHE,F,2012,jaune,jaune,jaune,jaune,jaune,,jaune,,jaune,
HELLEBORE,F,2012,rouge,,rouge,,,,,,,
HENDRIX,M,2012,rouge,rouge,jaune,jaune,,,,,,
HENRI,M,2012,vert,vert,vert,vert,13,,6,,13,
HERCULE,M,2012,rouge,bleu,bleu,rouge,,,,,,
HERMINE,F,2012,rouge,rouge,jaune,jaune,rouge,,rouge,jaune,jaune,
HERMIONE,F,2012,bleu,bleu,bleu,bleu,bleu,,bleu,,bleu,
HÉROÏNE,F,2012,bleu,bleu,rouge,rouge,,,,,,
HIERACIUM,M,2012,jaune,vert,jaune,vert,,,,,,
HIPPIE,M,2012,noir,,violet,,,,,,,
HORTENSE,M,2012,vert,vert,blanc,blanc,Z,,,,Z,
HOUPETTE,F,2012,jaune,,vert,,,,,,,
HOUSE,M,2012,vert,vert,jaune,jaune,,,,,,
HUGO,M,2018,violet,vert,,jaune,,,,,,
HUGUETTE,F,2012,bleu,bleu,vert,vert,O,,X,,O,
HULK,M,2012,violet,,jaune,,,,,,,
HYPPOLITE,M,2012,blanc,blanc,blanc,blanc,,,,,,
